symbol,date,adjclose,close,high,low,open,volume
FFIV,2015-07-16 05:30:00.0,117.93,117.93,119.010002,117.019997,118.129997,568900.0
FFIV,2008-12-23 05:30:00.0,21.52,21.52,21.65,21.16,21.4,1027900.0
FFIV,2004-02-13 05:30:00.0,18.094999,36.189999,37.290001,35.959999,36.709999,1935000.0
DLTR,2014-04-08 05:30:00.0,50.889999,50.889999,51.139999,50.610001,50.830002,1936300.0
DLTR,2013-12-19 05:30:00.0,55.299999,55.299999,55.799999,55.099998,55.740002,1809800.0
DLTR,2007-02-16 05:30:00.0,11.39,34.170001,34.190011,33.660001,34.08999,2922600.0
DLTR,2003-02-05 05:30:00.0,7.33,21.99,22.389989,21.599999,21.860011,4071600.0
NSC,2012-10-22 05:30:00.0,59.823378,66.830002,67.139999,65.550003,65.639999,3350100.0
NSC,2012-10-02 05:30:00.0,58.203139,65.019997,65.5,64.230003,65.230003,3951300.0
NSC,2008-12-11 05:30:00.0,37.374027,46.209999,48.970001,45.619999,47.799999,3735600.0
NSC,2008-12-03 05:30:00.0,37.495346,46.360001,47.48,44.540001,46.77,7086500.0
NSC,2008-09-12 05:30:00.0,54.684369,67.970001,68.75,66.75,68.059998,4408500.0
NSC,2008-05-01 05:30:00.0,48.628409,60.709999,60.970001,59.080002,59.5,3307900.0
GILD,2014-07-14 05:30:00.0,87.87078,89.849998,90.269997,88.839996,89.129997,1.0729E7
GILD,2000-12-04 05:30:00.0,2.506053,82.0,88.062401,79.0,87.624962,2.00416E7
TMK,2016-05-27 05:30:00.0,60.794507,60.939999,60.950001,60.200001,60.490002,372100.0
TMK,2014-02-05 05:30:00.0,47.584649,73.110003,73.279993,71.740007,72.739992,566700.0
TMK,2002-12-04 05:30:00.0,14.590168,37.739994,38.029994,37.410009,37.500007,909200.0
TMK,2002-04-26 05:30:00.0,15.626878,40.619991,40.690012,40.250001,40.579986,1023000.0
TMK,2000-11-27 05:30:00.0,14.162516,37.249987,37.624994,37.000013,37.062494,1847300.0
BBBY,2016-04-22 05:30:00.0,48.996518,49.139999,49.450001,48.52,48.52,1441600.0
BBBY,2015-04-08 05:30:00.0,77.453186,77.68,77.889999,76.07,76.07,3900600.0
ADP,2015-08-31 05:30:00.0,75.427313,77.32,78.400002,77.110001,77.860001,2364500.0
ADP,2012-07-26 05:30:00.0,44.904212,56.520006,56.930003,55.99001,56.359999,2709800.0
ADP,2005-04-11 05:30:00.0,26.523498,44.659933,44.719929,43.999925,44.259928,2445400.0
ADP,2001-05-24 05:30:00.0,31.71319,56.0399,56.249908,55.169908,55.449912,1701800.0
WFC,2015-12-10 05:30:00.0,53.086565,54.34,54.990002,53.880001,54.25,1.40753E7
WFC,2013-11-14 05:30:00.0,39.878415,43.09,43.119999,42.580002,42.880001,1.78313E7
WFC,2012-09-04 05:30:00.0,30.196273,33.799999,34.130001,33.73,34.040001,1.47176E7
WFC,2006-04-26 05:30:00.0,24.811282,65.599998,65.620003,65.150002,65.150002,8547800.0
WFC,2005-11-16 05:30:00.0,22.875331,60.990002,61.900002,60.810001,61.509998,9411800.0
WFC,2004-05-07 05:30:00.0,19.666179,55.09,56.049999,54.700001,56.0,1.2484E7
WFC,2003-12-01 05:30:00.0,20.294342,57.75,57.860001,57.299999,57.77,7023400.0
WFC,2002-07-25 05:30:00.0,15.662271,46.439999,46.889999,44.650002,44.950001,1.78186E7
EA,2012-01-05 05:30:00.0,20.530001,20.530001,20.809999,20.16,20.4,5057700.0
EA,2011-08-09 05:30:00.0,18.6,18.6,18.639999,17.58,18.27,1.41819E7
WDC,2011-02-15 05:30:00.0,31.091646,34.16,34.720001,33.709999,34.560001,3469600.0
WDC,2007-07-05 05:30:00.0,18.758748,20.610001,20.99,20.530001,20.67,3341300.0
WDC,2002-01-16 05:30:00.0,6.380341,7.01,7.15,6.77,6.85,3318400.0
WDC,2001-11-12 05:30:00.0,3.850049,4.23,4.28,3.99,4.12,782300.0
XOM,2010-07-26 05:30:00.0,50.623863,60.389999,60.439999,59.630001,59.700001,2.02365E7
XOM,2007-10-10 05:30:00.0,73.551267,93.129997,93.68,91.550003,91.690002,1.83365E7
XOM,2007-04-04 05:30:00.0,60.395923,77.110001,77.220001,76.029999,76.589996,2.08734E7
